0-0,-7.7908,-6.52256,27.8093,1.75,-7.66797,-6.48136,27.5733
0-0,-7.66797,-6.48136,27.5733,1.76,-7.55379,-6.45824,27.3334
0-0,-7.55379,-6.45824,27.3334,1.77,-7.44913,-6.45273,27.0918
0-0,-7.44913,-6.45273,27.0918,1.78,-7.35474,-6.46429,26.8505
0-0,-7.35474,-6.46429,26.8505,1.79,-7.27123,-6.49232,26.6113
0-0,-7.27123,-6.49232,26.6113,1.8,-7.1991,-6.53618,26.3759
0-0,-7.1991,-6.53618,26.3759,1.81,-7.13875,-6.59521,26.1462
0-0,-7.13875,-6.59521,26.1462,1.82,-7.09047,-6.66872,25.9236
0-0,-7.09047,-6.66872,25.9236,1.83,-7.05446,-6.75605,25.7098
0-0,-7.05446,-6.75605,25.7098,1.84,-7.03082,-6.8565,25.5061
0-0,-7.03082,-6.8565,25.5061,1.85,-7.01959,-6.96937,25.3141
0-0,-7.01959,-6.96937,25.3141,1.86,-7.02075,-7.09396,25.1349
0-0,-7.02075,-7.09396,25.1349,1.87,-7.03419,-7.22954,24.9701
0-0,-7.03419,-7.22954,24.9701,1.88,-7.05976,-7.37537,24.8207
0-0,-7.05976,-7.37537,24.8207,1.89,-7.09723,-7.53067,24.6881
0-0,-7.09723,-7.53067,24.6881,1.9,-7.14634,-7.69458,24.5733
0-0,-7.14634,-7.69458,24.5733,1.91,-7.20676,-7.86623,24.4776
0-0,-7.20676,-7.86623,24.4776,1.92,-7.2781,-8.04462,24.402
0-0,-7.2781,-8.04462,24.402,1.93,-7.35991,-8.2287,24.3475
0-0,-7.35991,-8.2287,24.3475,1.94,-7.45167,-8.41728,24.315
0-0,-7.45167,-8.41728,24.315,1.95,-7.55282,-8.60909,24.3054
0-0,-7.55282,-8.60909,24.3054,1.96,-7.6627,-8.8027,24.3194
0-0,-7.6627,-8.8027,24.3194,1.97,-7.78056,-8.99656,24.3576
0-0,-7.78056,-8.99656,24.3576,1.98,-7.90561,-9.18898,24.4204
0-0,-7.90561,-9.18898,24.4204,1.99,-8.03692,-9.37812,24.5081
0-0,-8.03692,-9.37812,24.5081,2,-8.1735,-9.56202,24.6207
0-0,-8.1735,-9.56202,24.6207,2.01,-8.31424,-9.73858,24.758
0-0,-8.31424,-9.73858,24.758,2.02,-8.45795,-9.9056,24.9194
0-0,-8.45795,-9.9056,24.9194,2.03,-8.60332,-10.0608,25.1042
0-0,-8.60332,-10.0608,25.1042,2.04,-8.74897,-10.2019,25.3112
0-0,-8.74897,-10.2019,25.3112,2.05,-8.8934,-10.3265,25.5388
0-0,-8.8934,-10.3265,25.5388,2.06,-9.03505,-10.4324,25.7852
0-0,-9.03505,-10.4324,25.7852,2.07,-9.17231,-10.5174,26.0479
0-0,-9.17231,-10.5174,26.0479,2.08,-9.3035,-10.5795,26.3244
0-0,-9.3035,-10.5795,26.3244,2.09,-9.42694,-10.617,26.6114
0-0,-9.42694,-10.617,26.6114,2.1,-9.54096,-10.6285,26.9056
0-0,-9.54096,-10.6285,26.9056,2.11,-9.64392,-10.613,27.2033
0-0,-9.64392,-10.613,27.2033,2.12,-9.73428,-10.5698,27.5004
0-0,-9.73428,-10.5698,27.5004,2.13,-9.81058,-10.4989,27.793
0-0,-9.81058,-10.4989,27.793,2.14,-9.87155,-10.4007,28.0768
0-0,-9.87155,-10.4007,28.0768,2.15,-9.91608,-10.2762,28.3476
0-0,-9.91608,-10.2762,28.3476,2.16,-9.94331,-10.1268,28.6016
0-0,-9.94331,-10.1268,28.6016,2.17,-9.95262,-9.95476,28.8349
0-0,-9.95262,-9.95476,28.8349,2.18,-9.94367,-9.76247,29.0442
0-0,-9.94367,-9.76247,29.0442,2.19,-9.91642,-9.55289,29.2265
0-0,-9.91642,-9.55289,29.2265,2.2,-9.8711,-9.3293,29.3793
0-0,-9.8711,-9.3293,29.3793,2.21,-9.80829,-9.09519,29.5009
0-0,-9.80829,-9.09519,29.5009,2.22,-9.72881,-8.8542,29.5898
0-0,-9.72881,-8.8542,29.5898,2.23,-9.63378,-8.60999,29.6454
0-0,-9.63378,-8.60999,29.6454,2.24,-9.52454,-8.36614,29.6677
0-0,-9.52454,-8.36614,29.6677,2.25,-9.40265,-8.12609,29.6571
0-0,-9.40265,-8.12609,29.6571,2.26,-9.26983,-7.89302,29.6145
0-0,-9.26983,-7.89302,29.6145,2.27,-9.12792,-7.66981,29.5415
0-0,-9.12792,-7.66981,29.5415,2.28,-8.97886,-7.45899,29.4398
0-0,-8.97886,-7.45899,29.4398,2.29,-8.8246,-7.26272,29.3116
0-0,-8.8246,-7.26272,29.3116,2.3,-8.66713,-7.08277,29.1592
0-0,-8.66713,-7.08277,29.1592,2.31,-8.50837,-6.92053,28.985
0-0,-8.50837,-6.92053,28.985,2.32,-8.35017,-6.77702,28.7918
0-0,-8.35017,-6.77702,28.7918,2.33,-8.19431,-6.65293,28.5821
0-0,-8.19431,-6.65293,28.5821,2.34,-8.04242,-6.54864,28.3586
0-0,-8.04242,-6.54864,28.3586,2.35,-7.89603,-6.46427,28.1239
0-0,-7.89603,-6.46427,28.1239,2.36,-7.7565,-6.39973,27.8804
0-0,-7.7565,-6.39973,27.8804,2.37,-7.62506,-6.35472,27.6305
0-0,-7.62506,-6.35472,27.6305,2.38,-7.50277,-6.32882,27.3766
0-0,-7.50277,-6.32882,27.3766,2.39,-7.39055,-6.3215,27.1208
0-0,-7.39055,-6.3215,27.1208,2.4,-7.28919,-6.33213,26.8652
0-0,-7.28919,-6.33213,26.8652,2.41,-7.19933,-6.36006,26.6117
0-0,-7.19933,-6.36006,26.6117,2.42,-7.12149,-6.40459,26.3623
0-0,-7.12149,-6.40459,26.3623,2.43,-7.05607,-6.46499,26.1185
0-0,-7.05607,-6.46499,26.1185,2.44,-7.00336,-6.54056,25.8822
0-0,-7.00336,-6.54056,25.8822,2.45,-6.96356,-6.63058,25.6548
0-0,-6.96356,-6.63058,25.6548,2.46,-6.93679,-6.73434,25.4378
