0.262,2.59014
0.263,2.59979
0.264,2.60945
0.265,2.6191
0.266,2.62875
0.267,2.6384
0.268,2.64804
0.269,2.65768
0.27,2.66732
0.271,2.67696
0.272,2.68659
0.273,2.69622
0.274,2.70585
0.275,2.71548
0.276,2.7251
0.277,2.73472
0.278,2.74434
0.279,2.75395
0.28,2.76356
0.281,2.77317
0.282,2.78278
0.283,2.79238
0.284,2.80198
0.285,2.81158
0.286,2.82118
0.287,2.83077
0.288,2.84036
0.289,2.84994
0.29,2.85953
0.291,2.86911
0.292,2.87869
0.293,2.88826
0.294,2.89783
0.295,2.9074
0.296,2.91697
0.297,2.92653
0.298,2.93609
0.299,2.94565
0.3,2.95521
0.301,2.96476
0.302,2.97431
0.303,2.98385
0.304,2.9934
0.305,3.00294
0.306,3.01247
0.307,3.02201
0.308,3.03154
0.309,3.04107
0.31,3.05059
0.311,3.06011
0.312,3.06963
0.313,3.07915
0.314,3.08866
0.315,3.09817
0.316,3.10767
0.317,3.11718
0.318,3.12668
0.319,3.13617
0.32,3.14567
0.321,3.15516
0.322,3.16465
0.323,3.17413
0.324,3.18361
0.325,3.19309
0.326,3.20256
0.327,3.21204
0.328,3.2215
0.329,3.23097
0.33,3.24043
0.331,3.24989
0.332,3.25935
0.333,3.2688
0.334,3.27825
0.335,3.28769
0.336,3.29713
0.337,3.30657
0.338,3.31601
0.339,3.32544
0.34,3.33487
0.341,3.3443
0.342,3.35372
0.343,3.36314
0.344,3.37255
0.345,3.38197
0.346,3.39137
0.347,3.40078
0.348,3.41018
0.349,3.41958
0.35,3.42898
0.351,3.43837
0.352,3.44776
0.353,3.45714
0.354,3.46652
0.355,3.4759
0.356,3.48528
0.357,3.49465
0.358,3.50401
0.359,3.51338
0.36,3.52274
0.361,3.5321
0.362,3.54145
0.363,3.5508
0.364,3.56015
0.365,3.56949
0.366,3.57883
0.367,3.58816
0.368,3.5975
0.369,3.60683
0.37,3.61615
0.371,3.62547
0.372,3.63479
0.373,3.6441
0.374,3.65341
0.375,3.66272
0.376,3.67202
0.377,3.68132
0.378,3.69062
0.379,3.69991
0.38,3.7092
0.381,3.71848
0.382,3.72777
0.383,3.73704
0.384,3.74632
0.385,3.75559
0.386,3.76485
0.387,3.77411
0.388,3.78337
0.389,3.79263
0.39,3.80188
0.391,3.81113
0.392,3.82037
0.393,3.82961
0.394,3.83884
0.395,3.84808
0.396,3.8573
0.397,3.86653
0.398,3.87575
0.399,3.88496
0.4,3.89418
0.401,3.90339
0.402,3.91259
0.403,3.92179
0.404,3.93099
0.405,3.94018
0.406,3.94937
0.407,3.95856
0.408,3.96774
0.409,3.97691
0.41,3.98609
0.411,3.99526
0.412,4.00442
0.413,4.01358
0.414,4.02274
0.415,4.03189
0.416,4.04104
0.417,4.05019
0.418,4.05933
0.419,4.06846
0.42,4.0776
0.421,4.08673
0.422,4.09585
0.423,4.10497
0.424,4.11409
0.425,4.1232
0.426,4.13231
0.427,4.14141
0.428,4.15051
0.429,4.15961
0.43,4.1687
0.431,4.17779
0.432,4.18687
0.433,4.19595
0.434,4.20503
0.435,4.2141
0.436,4.22316
0.437,4.23223
0.438,4.24128
0.439,4.25034
0.44,4.25939
0.441,4.26843
0.442,4.27747
0.443,4.28651
0.444,4.29554
0.445,4.30457
0.446,4.3136
0.447,4.32262
0.448,4.33163
0.449,4.34064
0.45,4.34965
0.451,4.35865
0.452,4.36765
0.453,4.37664
0.454,4.38563
0.455,4.39462
0.456,4.4036
0.457,4.41257
0.458,4.42155
0.459,4.43051
0.46,4.43948
0.461,4.44843
0.462,4.45739
0.463,4.46634
0.464,4.47528
0.465,4.48422
0.466,4.49316
0.467,4.50209
0.468,4.51102
0.469,4.51994
0.47,4.52886
0.471,4.53777
0.472,4.54668
0.473,4.55559
0.474,4.56449
0.475,4.57338
0.476,4.58227
0.477,4.59116
0.478,4.60004
0.479,4.60892
0.48,4.61779
0.481,4.62666
0.482,4.63552
0.483,4.64438
0.484,4.65323
0.485,4.66208
0.486,4.67093
0.487,4.67977
0.488,4.6886
0.489,4.69743
0.49,4.70626
0.491,4.71508
0.492,4.72389
0.493,4.73271
0.494,4.74151
0.495,4.75031
0.496,4.75911
0.497,4.7679
